Uuid,Name,Description,Format,Foreign uuid,Searchable
c1f4a004-3f10-11e4-adec-0800271c1b75,education,REGISTRATION_EDUCATION_DETAILS_KEY,org.openmrs.Concept,c2084e7b-3f10-11e4-adec-0800271c1b75,TRUE
c1f7d1f1-3f10-11e4-adec-0800271c1b75,occupation,REGISTRATION_OCCUPATION_KEY,org.openmrs.Concept,1542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE
