uuid,name,aIsToB,bIsToA,description
8d91a210-c2dc-11e3-8a33-0800200c9a66,Sibling,Sibling,Sibling,Siblings in the system
9d91a211-c2dc-11e3-8a33-0800200c9a67,Parent/Child,Parent,Child,Direct lineage
