Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1060
9d875aac-3f10-11e4-adec-0800271c1b75,Avant le repas,Before meal,Avant repas,Before meal,Misc,N/A,
9d8843ed-3f10-11e4-adec-0800271c1b75,À jeun,On an empty stomach,À jeun,Empty stomach,Misc,N/A,
9d88ea4d-3f10-11e4-adec-0800271c1b75,Après le repas,After meal,Après repas,After meal,Misc,N/A,
9d89caea-3f10-11e4-adec-0800271c1b75,Le matin,In the Mornings,Matin,Morning,Misc,N/A,
9d8a7236-3f10-11e4-adec-0800271c1b75,En soirée,In the Evenings,Soirée,Evening,Misc,N/A,
9d8dbcd7-3f10-11e4-adec-0800271c1b75,À l’heure du couché,At Bedtimes,Coucher,Bedtime,Misc,N/A,
9d8f3516-3f10-11e4-adec-0800271c1b75,Comme prescrit,As prescribed,Prescrit,As prescribed,Misc,N/A,
