uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1261
30a0c30f-51de-482b-8faf-1c118496ed7d,,,1.Nom de la mère,1.Mother’s name,1.Nom de la mère,1.Mother’s name,Misc,Text,,
487ac0b4-11c1-4fb5-b73f-bfce9c374682,,,3.Poids du Nouveau-né,3.Newborn Weight,3.Poids du Nouveau-né,3.Newborn Weight,Misc,Text,,
486239b0-3a50-49ff-865a-2956d37434ac,,,4.PC,4.PC,4.PC,4.PC,Misc,Text,,
3d4cf94f-b060-4cf1-8723-3859a41fab5f,,,5.PT,5.PT,5.PT,5.PT,Misc,Text,,
0446e17f-1e57-4aa9-bda2-04ea854e8fa9,,,6.PB,6.PB,6.PB,6.PB,Misc,Text,,
45584f25-f1d1-46a6-80f0-08570e9b845b,,,8.APGAR,8.APGAR,8.APGAR,8.APGAR,Misc,Text,,
6f5c96ac-b15e-490a-baef-cee8e6308599,"1.Mother’s name;7b88e743-c39f-44cb-8181-9c4eadcf2e12;3.Newborn Weight;4.PC;5.PT;6.PB;8450100a-7bec-49d6-ba2b-7f5155797a37;8.APGAR;2e8d19a5-0a6d-42f6-95d9-9fb760618857",,Paramètres des nouveaux-nés par césarienne,Parameters of newborns by cesarean section,Paramètres des nouveaux-nés par césarienne,Parameters of newborns by cesarean section,Misc,N/A,,
